date,team,player,value,player_team,cum_sum,pk
2023-09-16,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,7.0,1.0
2023-09-16,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,3.0,0.0
2023-09-16,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,2.0,0.0
2023-09-16,Tottenham,Richarlison,1,richarlison_tottenham,1.0,0.0
2023-09-17,Arsenal,Leandro Trossard,1,leandrotrossard_arsenal,1.0,0.0
2023-09-23,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,2.0,1.0
2023-09-23,Luton Town,Carlton Morris,1,carltonmorris_lutontown,2.0,2.0
2023-09-23,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,8.0,1.0
2023-09-23,Manchester City,Phil Foden,1,philfoden_manchestercity,1.0,0.0
2023-09-24,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,3.0,0.0
2023-09-24,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,2.0,0.0
2023-09-24,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,3.0,2.0
2023-09-24,Liverpool,Darwin Nunez,1,darwinnunez_liverpool,3.0,0.0
2023-09-24,Liverpool,Diogo Jota,1,diogojota_liverpool,2.0,0.0
2023-09-24,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,3.0,0.0
2023-09-24,West Ham,Jarrod Bowen,1,jarrodbowen_westham,4.0,0.0
2023-09-24,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,3.0,1.0
2023-09-24,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,1.0,0.0
2023-09-24,Tottenham,Son Heung-min,2,sonheungmin_tottenham,5.0,0.0
2023-09-30,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,4.0,1.0
2023-09-30,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,4.0,2.0
2023-09-30,Luton Town,Carlton Morris,1,carltonmorris_lutontown,3.0,2.0
2023-09-30,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,4.0,0.0
2023-09-30,West Ham,Jarrod Bowen,1,jarrodbowen_westham,5.0,0.0
2023-09-30,Manchester City,Julian Alvarez,1,julianalvarez_manchestercity,3.0,0.0
2023-09-30,Arsenal,Kai Havertz,1,kaihavertz_arsenal,1.0,1.0
2023-09-30,Aston Villa,Ollie Watkins,3,olliewatkins_astonvilla,4.0,0.0
2023-09-30,Tottenham,Son Heung-min,1,sonheungmin_tottenham,6.0,0.0
2023-10-03,Luton Town,Elijah Adebayo,1,elijahadebayo_lutontown,1.0,0.0
2023-10-07,Chelsea,Cole Palmer,1,colepalmer_chelsea,1.0,1.0
2023-10-07,Chelsea,Nicolas Jackson,1,nicolasjackson_chelsea,2.0,0.0
2023-10-08,Newcastle Utd,Alexander Isak,2,alexanderisak_newcastleutd,6.0,1.0
2023-10-08,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,5.0,0.0
2023-10-08,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,5.0,2.0
2023-10-21,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,3.0,0.0
2023-10-21,Nott'ham Forest,Chris Wood,2,chriswood_notthamforest,3.0,0.0
2023-10-21,Chelsea,Cole Palmer,1,colepalmer_chelsea,2.0,2.0
2023-10-21,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,4.0,0.0
2023-10-21,Luton Town,Elijah Adebayo,1,elijahadebayo_lutontown,2.0,0.0
2023-10-21,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,9.0,1.0
